Alger,,Glauconite,Pyrite,Quartz,Thomsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allegan,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpena,,Ankerite,Barite,Calcite,Chalcopyrite,Copper,Dolomite,Halite,Marcasite,Pyrite,Siderite,Sphalerite,Strontianite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antrim,,Gold,Marcasite,Pyrite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arenac,,Calcite,Gypsum,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baraga,,Algodonite,Apatite,Barite,BerylCalcite,Chalcocite,Chalcopyrite,Chlorite,Cinnabar,Clinochlore,Copper,Galena,Goethite,Gold,Graphite,Grunerite,Gypsum,Illite,Magnetite,Manganite,Marcasite,Melanterite,Minnesotaite,Montmorillonite,Palygorskite,Pyrite,Pyrolusite,Silver,Sphalerite,Staurolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bay,,Anhydrite,Fluorite,Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berrien,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branch,,Galena,Pyrite,Siderite,Sphalerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calhoun,,Calcite,Goethite,Marcasite,Psilomelane,Pyrite,Pyrolusite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cass,,Diamond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlevoix,,Dolomite,Gold,Marcasite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chippewa,,Calcite,Celestite,Marcasite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clare,,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta,,Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dickinson,,Actinolite,Albite,Almite,radite,Anorthite,Anthophyllite,Antigorite,Apatite,Augite,Azurite,Beryl,Bytownite,Calcite,Chalcopyrite,Chlorite,Chromite,Chrysotile,Clinozoisite,Columbite,Copper,Cummingtonitep,Diopside,Dolomite,Enstatite,Fluorite,Galena,Galena,Goethite,Gold,Graphite,Greenalite,Grunerite,Gypsum,Hematite,Hornblende,Ilmenite,Labradorite,Laumontite,Lepidocrocite,Lizardite,Magnetite,Malachite,Marcasite,MicroclineMirabilite,Molybdenite,Muscovite,Nontronite,Oligoclase,Paragonite,Pennine,Phlogopite,Pigeonite,Psilomelane,Pyrite,Pyrrhotite,Quartz,Riebeckite,Rutherfordine,Scapolite,Siderite,Silver,Staurolite,Talc,Tourmaline,Tremolite,Uraninite,Wollastonite,Zircon,Zoisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eaton,,Barite,Calcite,Celestite,Fluorite,Galena,Glauconite,Gypsum,Marcasite,Pyrite,Siderite,Sphalerite,Vivianite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emmet,,Gold,Montmorillonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genesee,,Augite,Brookite,Enstatite,Hypersthene,Ilmenite,Kyanite,Leucoxene,Uvarovite,Zoisite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gogebic,,Actinolite,Allanite,Aphrosiderite,Aragonite,Axinite,Barite,Calcite,Chalcocite,Chalcopyrite,Chamosite,Chlorite,ChromiumSilicates,Copper,Dickite,Dolomite,Fluorite,Galena,Goethite,Gold,Graphite,Greenalite,Grunerite,Gypsum,Hausmannite,Hematite,Hisingerite,Hornblende,Kaolinite,Laumontite,Magnesiosussexite,Magnetite,Malachite,Manganite,Microcline,Minnesotaite,Molybdenite,Montmorillonite,Muscovite,Neotocite,Nontronite,Palygorskite,Psilomelane,Pyrite,Pyrolusite,Quartz,Rhodochrosite,Riebeckite,Siderite,Sphalerite,Sphene,Stilpnomelane,Talc,Tremolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gratiot,,Actinolite,Albite,Anatase,Anhydrite,Augite,Bornite,Chalcopyrite,Chlorite,Copper,Digenite,Epidote,Ilmenite,Microcline,Prehnite,Pyrite,Sphene,Tremolite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Houghton,,Albite,Algodonite,Analcite,Anatase,Anhydrite,Ankerite,Anthonyite,Apatite,Apophyllite,Atacamite,Augite,Barite,Bornite,Brucite,Buttgenbachite,Calcite,Calumetite,Chalcocite,Chalconatronite,Chalcopyrite,Chamosite,Chlorite,Chloritoid,Chrysocolla,Clinozoisite,Copper,Cuprite,Datolite,Delessite,Diabantite,Diopside,Dolomite,Domeykite,Epidote,Fluorite,Gypsum,Halite,Hematite,Iddingsite,Illite,Ilmenite,Kaolinite,Kinoite,Labradorite,Laumontite,Leonhardite,Leucoxene,Magnetite,Malachite,Manganite,Melilite,Microcline,Mirabilite,Monazite,Montmorillonite,Muscovite,Natrolite,Olivenite,Olivine,Orthoclase,Paratacamite,Pennine,Powellite,Prehnite,Prochlorite,Pumpellyite,Pyrite,Pyrrhotite,Quartz,Rhodochrosite,Saponite,Siderite,Silver,Sphene,Stilbite,Thomsonite,Thuringite,Tourmaline,Tremolite,Vermiculite,Zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Huron,,Calcite,Dolomite,Galena,Galena,Galena,Glauconite,Gypsum,Marcasite,Melanterite,Millerite,Pyrite,Quartz,Siderite,Sphalerite,Spinel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ingham,,Diamond,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ionia,,Gold,Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iosco,,Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iron,,Allanite,Alunite,alusite,Apatite,Aphrosiderite,Aragonite,Augite,Barite,Bassetite,Bornite,Braunite,Calcite,Chalcocite,Chalcopyrite,Chamosite,Chlorite,Chloritoid,Clinozoisite,Copper,Corundum,Diamond,Dickite,Dolomite,Enstatite,Galena,Goethite,Gold,Graphite,Greenalite,Greenockite,Grunerite,Gypsum,Halotrichite,Hausmannite,Hematite,Hornblende,Hydrohausmannite,Illite,Ilmenite,Kaolinite,Kyanite,Labradorite,Magnetite,Manganite,Marcasite,Mesolite,Meta-Autunite,Metatorbernite,Metatyuyamunite,Microcline,Muscovite,Natrojarosite,Neotocite,Olivine,Phlogopite,Pigeonite,Psilomelane,Pyrite,Pyrolusite,Pyrope,Pyrrhotite,Quartz,Rhodochrosite,Rhodonite,Rutile,Sanidine,Seamanite,Siderite,Sillimanite,Silver,Sphalerite,Sphene,Spinel,Staurolite,Stilpnomelane,Strontianite,Sussexite,Talc,Tourmaline,Tremolite,Uraninite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isabella,,Anhydrite,Fluorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jackson,,Aragonite,Brookite,Calcite,Dolomite,Glauconite,Goethite,Marcasite,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalamazoo,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalkaska,,Apatite,Fluorite,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kent,,Anhydrite,Calcite,Celestite,Copper,Diamond,Gold,Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keweenaw,,Albite,Algodonite,Almite,Analcite,Anatase,esine,Anhydrite,Ankerite,Annabergite,Apatite,Apophyllite,Atacamite,Augite,Azurite,Babingtonite,Barite,Bornite,Braunite,Brochantite,Bytownite,Calciovolborthite,Calcite,Chalcocite,Chalcopyrite,Chamosite,Chloanthite,Chlorite,Chloritoid,Chrysocolla,Clinozoisite,Copper,Covellite,Cuprite,Datolite,Delessite,Diabantite,Digenite,Diopside,Djurleite,Dolomite,Domeykite,Epidote,Erythrite,Faujasite,Fluorite,Freirinite,Fuchsitep,Galena,Guerinite,Gypsum,Hematite,Heulite,Hollite,Hornblende,Hypersthene,Iddingsite,Ilmenite,Julgoldite,Kamiokite,Kaolinite,Labradorite,Labradorite,Langite,Laumontite,Lavendulan,Leonhardite,Leucoxene,Magnetite,Malachite,Manganite,Maucherite,Mesolite,Microcline,Muscovite,Natrolite,Neltnerite,Niccolite,Olivine,Orientite,Orthoclase,Pararammelsbergite,Patricianite,Pectolite,Pennine,Pharmacolite,Picropharmacolite,Pigeonite,Posnjakite,Prehnite,Prochlorite,Pumpellyite,Pyrite,Pyrolusite,Quartz,Rammelsbergite,Rauenthalite,Rhodochrosite,Sanidine,Saponite,Silver,Smaltite,Sphalerite,Stilbite,Tenorite,Thomsonite,Thuringite,Trichalcite,Tyrolite,Vermiculite,Vladimirite,Wollastonite,Xonotlite,Zircon,Zonochlorite,,,,,,,,,,,,,,,,,,,,,,,,,
Leelanau,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Livingston,,Gold,Graphite,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luce,,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mackinac,,Dolomite,Gypsum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macomb,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manistee,,Anhydrite,Gold,Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,,Actinolite,Aegirinaugite,Aegirine,Albite,Allanite,Almite,Anatase,alusite,Anglesite,Anhydrite,Ankerite,Anthophyllite,Antigorite,Apatite,Aphrosiderite,Aragonite,Arsenopyrite,Augite,Awarurite,Axinite,Azurite,Barite,Beryl,Biotite,Bismuthinite,Blomstrine,Bornite,Brannerite,Brucite,Brunsvigite,Calcite,Celestite,Chalcocite,Chalcopyrite,Chamosite,Chlorite,Chloritoid,Chromite,ChromiumSilicates,Chrysotile,Clinochlore,Clino-Chrysotile,Clinozoisite,Columbite,Copper,Cordierite,Corundum,Covellite,Cubanite,Cummingtonitep,Diabantite,Dickite,Diopside,Dolomite,Enstatite,Epidote,Euclase,Euxenite,Faujasite,Fluorite,Galena,Galena,Gibbsite,Goethite,Gold,Graphite,Greenalite,Grunerite,Gypsum,Halloysite,Hausmannite,Hematite,Hornblende,Hypersthene,Illite,Jacobsite,Kaolinite,Kutnahorite,Kyanite,Labradorite,Lizardite,Mackinawite,Magnetite,Malachite,Manganite,Manganocalcite,Marcasite,Margarite,Microcline,Millerite,Minnesotaite,Molybdenite,Monazite,Montmorillonite,Muscovite,Nacrite,Nontronite,Oligoclase,Olivine,Orthoclase,Paragonite,Pargasite,Pentlite,Phlogopite,Pigeonite,Powellite,Prochlorite,Pseudomalachite,Psilomelane,Pyrite,Pyrolusite,Pyrophyllite,Pyrostilpnite,Pyrrhotite,Quartz,Rhodochrosite,Rhodonite,Riebeckite,Rutile,Scheelite,Schefferite,Siderite,Sillimanite,Silver,Spessartite,Sphalerite,Sphene,Spinel,Spodumene,Staurolite,Stilpnomelane,Talc,Tellurium,Tetrahedrite,Tourmaline,Tremolite,Vermiculite,Violarite,Zircon
Mason,,Anhydrite,Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecosta,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menominee,,Arsenopyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midland,,Anhydrite,Halite,Sylvite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monroe,,Anhydrite,Apatite,Aragonite,Barite,Calcite,Celestite,Dolomite,Fluorite,Goethite,Gypsum,Marcasite,Pyrite,Quartz,Strontianite,Sulfur,Tourmaline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montcalm,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muskegon,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newaygo,,Anhydrite,Celestite,Dolomite,Gold,Gypsum,Halite,Polyhalite,Pyrite,Sylvite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakland,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oceana,,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ogemaw,,Anhydrite,Gypsum,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontonagon,,Algodonite,Analcite,Anatase,Anhydrite,Atacamite,Augite,Azurite,Barite,Bastnaesite,Bornite,Calcite,Chalcocite,Chalcopyrite,Chlorite,Chromite,Chrysocolla,Copper,Covellite,Cuprite,Datolite,Delessite,Digenite,Dioptase,Djurleite,Dolomite,Domeykite,Epidote,Fluorite,Galena,Gold,Greenockite,Gypsum,Hydrocarbon,Illite,Magnetite,Malachite,Marcasite,Microcline,Molybdenite,Montmorillonite,Nantokite,Paramelaconite,Paratacamite,Pigeonite,Plancheite,Prehnite,Pyrite,Quartz,Sanidine,Saponite,Silver,Sphalerite,Sphene,Synchisite,Tenorite,Tridymite,Wurtzite,Zircon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osceola,,Anhydrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottawa,,Calcite,Dolomite,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Presque Isle,,Calcite,Halite,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saginaw,,Halite,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schoolcraft,,Goethite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiawassee,,Calcite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Clair,,Anhydrite,Calcite,Halite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Joseph,,Calcite,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuscola,,Copper,Sphalerite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VanBuren,,Goethite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Washtenaw,,Pyrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wayne,,Anhydrite,Carnallite,Celestite,Corundum,Dolomite,Epsomite,Fluorite,Gypsum,Halite,Polyhalite,Pyrite,Quartz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wexford,,Fluorite,Gold,Montmorillonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
